 i,   x(i),   F(i)
           0   0.0000000000000000        0.0000000000000000     
           1   3.5667892000000004E-003   3.1333282466775474E-005
           2   7.1335784000000008E-003   6.2666564933550948E-005
           3   1.0700367600000002E-002   9.3999847400326415E-005
           4   1.4267156800000002E-002   1.2533312986710190E-004
           5   1.7833946000000003E-002   1.5666641233387738E-004
           6   2.1400735200000003E-002   1.8799969480065283E-004
           7   2.4967524400000003E-002   2.1933297726742831E-004
           8   2.8534313600000003E-002   2.5066625973420379E-004
           9   3.2101102800000003E-002   2.8199954220097922E-004
          10   3.5667892000000007E-002   3.1333282466775475E-004
          11   3.9234681200000003E-002   3.4466610713453018E-004
          12   4.2801470400000007E-002   3.7599938960130566E-004
          13   4.6368259600000003E-002   4.0733267206808114E-004
          14   4.9935048800000006E-002   4.3866595453485662E-004
          15   5.3501838000000003E-002   4.6999923700163205E-004
          16   5.7068627200000006E-002   5.0133251946840758E-004
          17   6.0635416400000010E-002   5.3266580193518306E-004
          18   6.4202205600000006E-002   5.6399908440195844E-004
          19   6.7768994800000010E-002   5.9533236686873392E-004
          20   7.1335784000000013E-002   6.2666564933550951E-004
          21   7.4902573200000003E-002   6.5799893180228488E-004
          22   7.8469362400000006E-002   6.8933221426906036E-004
          23   8.2036151600000010E-002   7.2066549673583584E-004
          24   8.5602940800000013E-002   7.5199877920261132E-004
          25   8.9169730000000016E-002   7.8333206166938691E-004
          26   9.2736519200000006E-002   8.1466534413616228E-004
          27   9.6303308400000009E-002   8.4599862660293765E-004
          28   9.9870097600000013E-002   8.7733190906971324E-004
          29  0.10343688680000002        9.0866519153648872E-004
          30  0.10700367600000001        9.3999847400326410E-004
          31  0.11057046520000001        9.7133175647003947E-004
          32  0.11413725440000001        1.0026650389368152E-003
          33  0.11770404360000002        1.0339983214035905E-003
          34  0.12127083280000002        1.0653316038703661E-003
          35  0.12483762200000001        1.0966648863371415E-003
          36  0.12840441120000001        1.1279981688039169E-003
          37  0.13197120040000002        1.1593314512706925E-003
          38  0.13553798960000002        1.1906647337374678E-003
          39  0.13910477880000002        1.2219980162042434E-003
          40  0.14267156800000003        1.2533312986710190E-003
          41  0.14623835720000003        1.2846645811377946E-003
          42  0.14980514640000001        1.3159978636045698E-003
          43  0.15337193560000001        1.3417983415093982E-003
          44  0.15693872480000001        1.3672790959631052E-003
          45  0.16050551400000002        1.3927598504168124E-003
          46  0.16407230320000002        1.4182406048705190E-003
          47  0.16763909240000002        1.4437213593242260E-003
          48  0.17120588160000003        1.4692021137779330E-003
          49  0.17477267080000003        1.4946828682316398E-003
          50  0.17833946000000003        1.5201636226853468E-003
          51  0.18190624920000001        1.5456443771390538E-003
          52  0.18547303840000001        1.5711251315927606E-003
          53  0.18903982760000002        1.5966058860464676E-003
          54  0.19260661680000002        1.6220866405001746E-003
          55  0.19617340600000002        1.6475673949538816E-003
          56  0.19974019520000003        1.6730481494075886E-003
          57  0.20330698440000003        1.6985289038612956E-003
          58  0.20687377360000003        1.7240096583150024E-003
          59  0.21044056280000004        1.7494904127687092E-003
          60  0.21400735200000001        1.7749711672224158E-003
          61  0.21757414120000002        1.8004519216761232E-003
          62  0.22114093040000002        1.8259326761298302E-003
          63  0.22470771960000002        1.8514134305835370E-003
          64  0.22827450880000003        1.8768941850372440E-003
          65  0.23184129800000003        1.9023749394909508E-003
