 i,   dC,   dD,   C0,   D0,   lam4,   lam
           1  -1.3713327008280443E-002  -4.8424936647402467E-002  0.10000000000000001       0.10000000000000001        1457.8281930174269        104.50375897623186     
           2  -2.3019185031116687E-002  -3.9742941841268975E-002   8.6286672991719562E-002   5.1575063352597539E-002   975.88964285417728        108.28379584634345     
           3   2.1842910566185689E-002  0.12003508006419332        6.3267487960602872E-002   1.1832121511328564E-002   272.76577275487921        177.12723210428834     
           4  -1.3230428930649194E-002  -8.8164237856776559E-002   8.5110398526788561E-002  0.13186720157552190        936.74355486447871        162.12313922026854     
           5  -8.5961433153614233E-003   1.0339628220568296E-002   7.1879969596139362E-002   4.3702963718745338E-002   520.30135836718523        158.22651655936176     
           6   3.3729249643082049E-002  0.11042376496337199        6.3283826280777944E-002   5.4042591939313635E-002   273.21777743453981        208.63855928674636     
           7  -9.5161873706847942E-003  -9.9887631294969220E-002   9.7013075923859993E-002  0.16446635690268563        1348.8452227179948        144.74798899284087     
           8  -1.9466126484356482E-002  -4.0250206047192420E-002   8.7496888553175195E-002   6.4578725607716408E-002   1016.5268619453998        115.47281122710680     
           9  -1.1411588110078388E-002   2.0272627520427876E-002   6.8030762068818709E-002   2.4328519560523988E-002   407.37397672955535        160.13920173903162     
          10   1.9495530477415336E-004  -1.9407925973580931E-002   5.6619173958740318E-002   4.4601147080951864E-002   94.385287515105802        250.36608031599707     
          11   2.1082595335361596E-004  -3.5293720795553369E-003   5.6814129263514472E-002   2.5193221107370933E-002   99.458612291622330        240.86009962400570     
          12   1.8173569926421989E-004   6.4922509571773363E-003   5.7024955216868088E-002   2.1663849027815596E-002   104.95564942777105        236.98904022834711     
          13   7.3720825230151892E-005   2.4571045586585284E-002   5.7206690916132306E-002   2.8156099984992931E-002   109.70312426733267        238.53124190861482     
          14   2.8400331200095752E-003   2.3441637914291845E-002   5.7280411741362461E-002   5.2727145571578218E-002   111.63128832240523        247.48744829564342     
          15  -4.0268534502470484E-003  -1.5060743210999825E-002   6.0120444861372038E-002   7.6168783485870056E-002   186.94819445402732        235.80113646623636     
          16  -1.6080915170841759E-003   4.2247568315081051E-003   5.6093591411124993E-002   6.1108040274870233E-002   80.755456293590896        259.43236811319616     
          17   1.6256285647863271E-003   6.1381106846993272E-003   5.4485499894040820E-002   6.5332797106378335E-002   39.482686018494633        275.19096470965815     
          18  -1.0049805627196364E-003  -4.8129282102106260E-003   5.6111128458827146E-002   7.1470907791077662E-002   81.209125752578757        261.52035568225926     
          19  -2.2146684878948225E-004   1.2549907766333573E-003   5.5106147896107509E-002   6.6657979580867041E-002   55.335316450967866        269.26195776162598     
          20   2.4170100685188289E-006   3.6837965574167619E-004   5.4884681047318029E-002   6.7912970357500393E-002   49.667528412046295        271.55915444517416     
          21   2.6049080829723253E-006   7.1201672881979865E-008   5.4884681047318029E-002   6.8281350013242065E-002   49.667528412046295        271.61589226710316     
